listing_id,fr_num_reviews,fr_first_review_date,fr_last_review_date,fr_num_different_places,lr_num_reviews,lr_first_review_date,lr_last_review_date,lr_num_different_places,avg_reviewer_num_reviews,avg_reviewer_num_places
340082,1,2012-04-08,2012-04-08,1,1,2015-02-17,2015-02-17,1,1.16666666666667,1.16666666666667
342027,1,2012-06-29,2012-06-29,1,2,2015-10-08,2015-10-18,2,1.2,1.2
342264,1,2012-04-03,2012-04-03,1,1,2015-12-02,2015-12-02,1,1.12,1.12
342995,1,2012-04-26,2012-04-26,1,1,2015-11-09,2015-11-09,1,1.06666666666667,1.06666666666667
343276,1,2012-06-01,2012-06-01,1,1,2015-12-29,2015-12-29,1,1.11111111111111,1.11111111111111
343971,1,2012-05-21,2012-05-21,1,1,2015-12-06,2015-12-06,1,1.05555555555556,1.05555555555556
344019,1,2012-04-01,2012-04-01,1,1,2012-06-07,2012-06-07,1,1,1
344082,1,2012-03-25,2012-03-25,1,1,2015-12-23,2015-12-23,1,1.02631578947368,1.02631578947368
344092,1,2012-04-13,2012-04-13,1,1,2015-09-22,2015-09-22,1,1.35714285714286,1.35714285714286
346248,1,2013-01-06,2013-01-06,1,1,2015-05-31,2015-05-31,1,1,1
346397,1,2012-03-21,2012-03-21,1,1,2015-11-06,2015-11-06,1,1.24137931034483,1.24137931034483
346527,2,2012-04-07,2015-11-06,2,1,2015-11-02,2015-11-02,1,1.44444444444444,1.44444444444444
346560,1,2014-03-28,2014-03-28,1,1,2015-12-21,2015-12-21,1,1.28571428571429,1.28571428571429
346579,1,2013-03-25,2013-03-25,1,1,2013-05-13,2013-05-13,1,1,1
346805,1,2012-03-31,2012-03-31,1,1,2014-10-28,2014-10-28,1,1.13207547169811,1.13207547169811
347865,1,2012-03-29,2012-03-29,1,2,2015-10-24,2015-12-28,2,1.27210884353742,1.25850340136054
348753,1,2012-03-26,2012-03-26,1,1,2015-11-04,2015-11-04,1,1.37931034482759,1.32758620689655
350168,1,2012-11-07,2012-11-07,1,2,2015-06-22,2015-06-29,2,1.33333333333333,1.33333333333333
350525,1,2012-04-23,2012-04-23,1,2,2015-09-03,2015-11-13,2,1.26470588235294,1.26470588235294
351859,1,2012-05-09,2012-05-09,1,1,2015-12-16,2015-12-16,1,1.02702702702703,1.02702702702703
352651,2,2012-05-01,2014-05-02,2,6,2015-05-24,2015-10-31,6,2.4,2.4
352938,1,2013-05-11,2013-05-11,1,1,2015-10-02,2015-10-02,1,1,1
352941,1,2012-04-02,2012-04-02,1,2,2015-09-29,2015-11-01,2,1.35294117647059,1.35294117647059
352976,1,2012-05-30,2012-05-30,1,1,2015-08-23,2015-08-23,1,1.78571428571429,1.71428571428571
352990,1,2012-05-28,2012-05-28,1,1,2015-11-01,2015-11-01,1,1.04545454545455,1.04545454545455
353317,1,2012-03-27,2012-03-27,1,1,2015-12-08,2015-12-08,1,1.53225806451613,1.43548387096774
353801,1,2012-03-17,2012-03-17,1,1,2015-07-31,2015-07-31,1,1.25,1.25
354095,1,2012-04-25,2012-04-25,1,1,2015-11-29,2015-11-29,1,1.20833333333333,1.20833333333333
354514,1,2012-05-21,2012-05-21,1,1,2015-12-08,2015-12-08,1,1.17777777777778,1.17777777777778
355106,1,2012-05-21,2012-05-21,1,1,2012-08-01,2012-08-01,1,1,1
355224,1,2012-04-04,2012-04-04,1,2,2015-04-03,2015-12-09,2,1.27835051546392,1.25773195876289
356723,2,2012-03-20,2014-03-29,2,1,2015-08-07,2015-08-07,1,1.2695652173913,1.23478260869565
356729,1,2012-04-20,2012-04-20,1,2,2014-12-09,2015-10-29,2,1.15384615384615,1.15384615384615
357157,1,2014-03-10,2014-03-10,1,1,2015-12-29,2015-12-29,1,1.16666666666667,1.125
357509,1,2012-05-22,2012-05-22,1,1,2015-10-24,2015-10-24,1,1.08333333333333,1.08333333333333
358060,1,2012-04-12,2012-04-12,1,1,2015-11-04,2015-11-04,1,1.39189189189189,1.33783783783784
358565,1,2012-05-07,2012-05-07,1,1,2015-11-23,2015-11-23,1,1.27049180327869,1.25409836065574
359689,1,2012-04-18,2012-04-18,1,2,2015-09-27,2015-10-01,2,1.2258064516129,1.2258064516129
360400,2,2011-12-01,2012-05-01,2,1,2015-12-30,2015-12-30,1,1.26415094339623,1.21698113207547
361006,4,2012-04-07,2015-09-11,4,3,2015-07-23,2015-10-26,3,2.66666666666667,2.41666666666667
361023,1,2013-01-05,2013-01-05,1,1,2013-01-05,2013-01-05,1,1,1
363320,1,2013-11-17,2013-11-17,1,1,2014-06-05,2014-06-05,1,1,1
364043,1,2012-04-06,2012-04-06,1,1,2015-12-29,2015-12-29,1,1.27748691099476,1.25130890052356
365227,1,2012-04-02,2012-04-02,1,1,2015-12-10,2015-12-10,1,1.23404255319149,1.19148936170213
365439,1,2012-04-21,2012-04-21,1,2,2012-12-18,2015-10-13,2,1.14285714285714,1.14285714285714
366519,1,2013-04-01,2013-04-01,1,1,2015-11-19,2015-11-19,1,1.61764705882353,1.5
366565,4,2014-05-07,2015-02-21,4,1,2015-07-15,2015-07-15,1,2.5,2.5
367498,1,2012-04-15,2012-04-15,1,1,2015-11-29,2015-11-29,1,1.08108108108108,1.02702702702703
369409,1,2012-04-06,2012-04-06,1,1,2015-12-30,2015-12-30,1,1.2797619047619,1.19642857142857
369411,1,2012-06-25,2012-06-25,1,2,2011-12-09,2015-12-09,2,1.7603305785124,1.66942148760331
369567,1,2013-03-31,2013-03-31,1,1,2015-12-14,2015-12-14,1,1.64,1.56
369671,1,2012-04-11,2012-04-11,1,1,2015-11-03,2015-11-03,1,1.09677419354839,1.09677419354839
369831,1,2013-03-11,2013-03-11,1,3,2015-11-12,2015-12-25,3,1.28125,1.265625
371138,1,2015-04-27,2015-04-27,1,1,2015-10-12,2015-10-12,1,1.2,1.2
371594,1,2012-07-08,2012-07-08,1,1,2015-08-05,2015-08-05,1,1.11111111111111,1.11111111111111
371835,1,2012-06-18,2012-06-18,1,1,2015-09-08,2015-09-08,1,1.625,1.625
372843,1,2012-04-25,2012-04-25,1,1,2013-12-16,2013-12-16,1,1.15,1.125
373618,1,2012-04-09,2012-04-09,1,3,2015-10-30,2015-11-07,3,1.7027027027027,1.51351351351351
374548,1,2012-04-10,2012-04-10,1,1,2015-12-30,2015-12-30,1,1.21641791044776,1.17910447761194
375076,1,2013-05-27,2013-05-27,1,2,2015-04-07,2015-05-09,2,1.33333333333333,1.33333333333333
375136,1,2012-03-27,2012-03-27,1,1,2015-12-19,2015-12-19,1,1.26903553299492,1.24365482233503
375249,1,2012-05-17,2012-05-17,1,3,2014-09-01,2015-11-17,3,1.31818181818182,1.21212121212121
375362,1,2014-06-25,2014-06-25,1,1,2015-11-02,2015-11-02,1,1.75,1.75
377217,1,2012-04-05,2012-04-05,1,1,2014-12-04,2014-12-04,1,1.1,1.1
378790,1,2012-05-29,2012-05-29,1,1,2012-06-18,2012-06-18,1,1.25,1.25
378852,1,2012-05-21,2012-05-21,1,1,2015-12-31,2015-12-31,1,1.125,1.125
379326,1,2012-03-31,2012-03-31,1,1,2015-12-13,2015-12-13,1,1.25,1.20454545454545
382523,1,2012-10-22,2012-10-22,1,1,2014-10-13,2014-10-13,1,1,1
382524,1,2012-03-31,2012-03-31,1,1,2015-05-13,2015-05-13,1,1,1
382865,1,2012-04-12,2012-04-12,1,1,2015-10-24,2015-10-24,1,1.08823529411765,1.02941176470588
384379,2,2012-11-16,2015-03-19,2,1,2014-06-02,2014-06-02,1,1.14285714285714,1.14285714285714
385190,1,2012-05-01,2012-05-01,1,2,2015-09-28,2015-09-29,1,1.33333333333333,1.2
385326,2,2012-04-30,2015-11-08,2,1,2015-10-27,2015-10-27,1,1.38202247191011,1.31460674157303
385657,1,2012-04-17,2012-04-17,1,1,2015-05-15,2015-05-15,1,1,1
385853,1,2012-04-23,2012-04-23,1,1,2015-12-06,2015-12-06,1,1.02702702702703,1.02702702702703
386507,2,2012-10-03,2012-10-13,2,1,2015-12-07,2015-12-07,1,1.25,1.25
386799,1,2012-04-25,2012-04-25,1,2,2015-12-28,2015-12-31,2,1.0695652173913,1.0695652173913
387377,1,2012-05-08,2012-05-08,1,1,2015-10-28,2015-10-28,1,1.21875,1.15625
387735,1,2012-04-25,2012-04-25,1,1,2015-12-28,2015-12-28,1,1.15254237288136,1.15254237288136
387763,1,2012-09-28,2012-09-28,1,1,2015-11-06,2015-11-06,1,1.2,1.2
387898,1,2012-04-16,2012-04-16,1,1,2015-12-28,2015-12-28,1,1.29411764705882,1.29411764705882
389050,4,2012-03-12,2015-12-19,4,1,2015-12-31,2015-12-31,1,1.26470588235294,1.23529411764706
389482,3,2011-05-27,2012-07-11,3,1,2015-11-18,2015-11-18,1,1.97142857142857,1.77142857142857
391955,1,2012-05-22,2012-05-22,1,1,2014-04-24,2014-04-24,1,1.375,1.375
392260,1,2012-03-26,2012-03-26,1,1,2015-12-20,2015-12-20,1,1.23188405797101,1.20289855072464
392549,1,2012-07-01,2012-07-01,1,2,2014-07-07,2014-08-11,2,1.83333333333333,1.83333333333333
392794,3,2012-04-28,2014-05-17,3,1,2015-10-25,2015-10-25,1,1.28,1.28
392985,2,2012-04-26,2015-04-03,2,3,2015-01-22,2015-07-05,2,1.45454545454545,1.36363636363636
393016,1,2012-04-10,2012-04-10,1,1,2015-12-22,2015-12-22,1,1.23943661971831,1.19718309859155
393094,1,2012-04-13,2012-04-13,1,2,2015-12-02,2015-12-24,2,1.36842105263158,1.36842105263158
393479,2,2012-04-18,2012-09-04,1,1,2015-10-24,2015-10-24,1,1.14285714285714,1
393682,1,2012-05-09,2012-05-09,1,4,2014-11-10,2015-12-18,4,1.1875,1.1875
393875,1,2012-08-02,2012-08-02,1,1,2015-12-24,2015-12-24,1,1.125,1.125
394076,1,2015-07-19,2015-07-19,1,1,2015-12-30,2015-12-30,1,1.10526315789474,1.10526315789474
394111,1,2012-05-25,2012-05-25,1,2,2015-06-21,2015-06-23,2,1.57142857142857,1.57142857142857
395045,1,2012-04-28,2012-04-28,1,1,2013-09-30,2013-09-30,1,1,1
395613,1,2012-09-20,2012-09-20,1,1,2015-10-14,2015-10-14,1,1.06896551724138,1.06896551724138
395877,1,2012-08-19,2012-08-19,1,1,2015-12-15,2015-12-15,1,1.31481481481481,1.2037037037037
396349,1,2012-05-07,2012-05-07,1,1,2015-10-14,2015-10-14,1,1.22222222222222,1.22222222222222
396636,1,2012-06-18,2012-06-18,1,1,2015-12-18,2015-12-18,1,1.38888888888889,1.33333333333333
396780,1,2012-05-09,2012-05-09,1,1,2015-10-26,2015-10-26,1,1.04166666666667,1.04166666666667
397034,2,2012-04-08,2013-03-18,2,1,2013-06-22,2013-06-22,1,1.16,1.16
397420,1,2012-09-02,2012-09-02,1,1,2014-09-25,2014-09-25,1,1,1
398072,1,2012-06-08,2012-06-08,1,1,2013-01-02,2013-01-02,1,1,1
398281,1,2012-04-15,2012-04-15,1,1,2015-07-03,2015-07-03,1,1,1
398682,2,2011-12-19,2012-05-08,2,1,2015-11-28,2015-11-28,1,1.37209302325581,1.24806201550388
400039,1,2013-02-26,2013-02-26,1,1,2015-12-04,2015-12-04,1,1.41463414634146,1.39024390243902
400466,1,2012-05-14,2012-05-14,1,1,2015-12-26,2015-12-26,1,1.40909090909091,1.36363636363636
400546,1,2012-03-31,2012-03-31,1,1,2015-12-21,2015-12-21,1,1.41059602649007,1.3112582781457
400861,1,2013-06-09,2013-06-09,1,1,2015-08-02,2015-08-02,1,1.33333333333333,1.33333333333333
400883,3,2012-05-17,2014-01-13,3,1,2015-11-14,2015-11-14,1,1.46875,1.4375
401039,1,2012-05-29,2012-05-29,1,1,2015-12-22,2015-12-22,1,1.1864406779661,1.15254237288136
401579,1,2013-09-04,2013-09-04,1,1,2015-12-14,2015-12-14,1,1.29411764705882,1.29411764705882
402201,1,2012-04-20,2012-04-20,1,1,2015-12-26,2015-12-26,1,1.14166666666667,1.11666666666667
402273,1,2012-05-22,2012-05-22,1,1,2015-10-19,2015-10-19,1,1.97802197802198,1.85714285714286
403056,1,2012-04-10,2012-04-10,1,1,2015-10-24,2015-10-24,1,1.21052631578947,1.21052631578947
403264,1,2012-04-29,2012-04-29,1,1,2015-12-07,2015-12-07,1,1.15068493150685,1.15068493150685
404502,1,2012-05-15,2012-05-15,1,1,2015-12-28,2015-12-28,1,1.375,1.34558823529412
404923,1,2012-04-06,2012-04-06,1,1,2015-12-16,2015-12-16,1,1.38636363636364,1.34090909090909
405025,1,2014-05-14,2014-05-14,1,1,2015-01-13,2015-01-13,1,1.04166666666667,1.04166666666667
405408,1,2012-05-01,2012-05-01,1,1,2015-12-14,2015-12-14,1,1.1551724137931,1.12068965517241
406056,1,2012-04-29,2012-04-29,1,2,2015-11-29,2015-12-27,2,1.34285714285714,1.34285714285714
406926,1,2012-05-07,2012-05-07,1,1,2015-12-25,2015-12-25,1,1.37777777777778,1.2
406992,1,2012-06-17,2012-06-17,1,1,2015-09-09,2015-09-09,1,1.33333333333333,1.33333333333333
