listing_id,fr_num_reviews,fr_first_review_date,fr_last_review_date,fr_num_different_places,lr_num_reviews,lr_first_review_date,lr_last_review_date,lr_num_different_places,avg_reviewer_num_reviews,avg_reviewer_num_places
9404985,1,2015-12-15,2015-12-15,1,1,2015-12-22,2015-12-22,1,1,1
9404997,1,2015-11-29,2015-11-29,1,1,2015-12-02,2015-12-02,1,1.33333333333333,1.33333333333333
9405162,1,2015-12-15,2015-12-15,1,1,2015-12-15,2015-12-15,1,1,1
9405334,1,2015-12-19,2015-12-19,1,1,2015-12-26,2015-12-26,1,1,1
9405420,1,2015-12-01,2015-12-01,1,1,2015-12-08,2015-12-08,1,1,1
9405466,2,2013-09-10,2015-12-14,2,2,2013-09-10,2015-12-14,2,2,2
9405488,3,2014-05-01,2015-11-19,3,2,2015-07-02,2015-12-16,2,2.5,2.5
9406547,1,2015-11-21,2015-11-21,1,1,2015-12-12,2015-12-12,1,1.66666666666667,1.66666666666667
9406699,2,2014-12-20,2015-11-19,2,2,2015-12-08,2015-12-23,2,2,2
9407043,1,2015-12-25,2015-12-25,1,1,2015-12-25,2015-12-25,1,1,1
9407264,1,2015-12-10,2015-12-10,1,1,2015-12-10,2015-12-10,1,1,1
9407912,1,2015-12-28,2015-12-28,1,1,2015-12-28,2015-12-28,1,1,1
9408123,1,2015-12-06,2015-12-06,1,1,2015-12-06,2015-12-06,1,1,1
9408127,1,2015-11-22,2015-11-22,1,1,2015-11-22,2015-11-22,1,1,1
9408178,1,2015-11-28,2015-11-28,1,1,2015-11-28,2015-11-28,1,1,1
9408218,1,2015-11-28,2015-11-28,1,1,2015-11-28,2015-11-28,1,1,1
9408222,2,2015-11-18,2015-11-23,2,2,2015-11-18,2015-11-23,2,2,2
9408435,1,2015-11-27,2015-11-27,1,2,2015-12-22,2015-12-29,2,1.6,1.6
9408494,1,2015-12-06,2015-12-06,1,1,2015-12-06,2015-12-06,1,1,1
9409065,1,2015-11-15,2015-11-15,1,1,2015-11-29,2015-11-29,1,1,1
9409245,1,2015-12-14,2015-12-14,1,1,2015-12-14,2015-12-14,1,1,1
9409391,1,2015-11-13,2015-11-13,1,1,2015-12-09,2015-12-09,1,1,1
9409457,1,2015-12-15,2015-12-15,1,2,2015-12-01,2015-12-27,2,1.5,1.5
9410510,1,2015-11-25,2015-11-25,1,3,2014-05-03,2015-12-29,3,1.5,1.5
9410527,1,2015-11-28,2015-11-28,1,1,2015-12-29,2015-12-29,1,1,1
9410580,1,2015-11-16,2015-11-16,1,1,2015-12-31,2015-12-31,1,1.36363636363636,1.36363636363636
9410846,1,2015-12-09,2015-12-09,1,1,2015-12-29,2015-12-29,1,1.4,1.4
9411082,1,2015-12-07,2015-12-07,1,1,2015-12-14,2015-12-14,1,1,1
9411126,2,2015-12-04,2015-12-11,2,1,2015-12-11,2015-12-11,1,1.5,1.5
9411379,3,2015-11-06,2015-12-04,3,1,2015-12-26,2015-12-26,1,1.4,1.4
9411467,1,2015-12-22,2015-12-22,1,1,2015-12-22,2015-12-22,1,1,1
9411914,2,2015-11-26,2015-12-31,2,2,2015-11-26,2015-12-31,2,2,2
9411918,1,2015-11-13,2015-11-13,1,1,2015-12-02,2015-12-02,1,1.5,1.5
9412496,1,2015-12-14,2015-12-14,1,2,2015-03-20,2015-12-22,2,1.33333333333333,1.33333333333333
9412525,1,2015-11-16,2015-11-16,1,1,2015-11-16,2015-11-16,1,1,1
9412552,2,2015-12-17,2015-12-27,2,2,2015-12-17,2015-12-27,2,2,2
9412559,3,2015-07-07,2015-12-06,3,1,2015-11-29,2015-11-29,1,2,2
9412598,1,2015-12-27,2015-12-27,1,1,2015-12-27,2015-12-27,1,1,1
9412617,1,2015-12-08,2015-12-08,1,1,2015-12-08,2015-12-08,1,1,1
